Time,Period,Day,Intensity,Times
12,AM,Sunday,Vlow,70
01,AM,Sunday,Vlow,70
02,AM,Sunday,Vlow,70
03,AM,Sunday,Vlow,70
04,AM,Sunday,Vlow,70
05,AM,Sunday,Vlow,70
06,AM,Sunday,Vlow,70
07,AM,Sunday,Vlow,70
08,AM,Sunday,Vlow,70
09,AM,Sunday,Medium,90
10,AM,Sunday,High,100
11,AM,Sunday,Medium,90
12,PM,Sunday,Medium,90
01,PM,Sunday,Medium,90
02,PM,Sunday,Vlow,70
03,PM,Sunday,Vlow,70
04,PM,Sunday,Medium,90
05,PM,Sunday,Vlow,70
06,PM,Sunday,Vlow,70
07,PM,Sunday,Vlow,70
08,PM,Sunday,Vlow,70
09,PM,Sunday,Vlow,70
10,PM,Sunday,Vlow,70
11,PM,Sunday,Vlow,70
12,AM,Monday,Vlow,70
01,AM,Monday,Vlow,70
02,AM,Monday,Vlow,70
03,AM,Monday,Vlow,70
04,AM,Monday,Vlow,70
05,AM,Monday,Vlow,70
06,AM,Monday,Vlow,70
07,AM,Monday,Vlow,70
08,AM,Monday,Vlow,70
09,AM,Monday,Low,80
10,AM,Monday,Low,80
11,AM,Monday,Low,80
12,PM,Monday,Low,80
01,PM,Monday,Low,80
02,PM,Monday,Low,80
03,PM,Monday,Low,80
04,PM,Monday,Medium,90
05,PM,Monday,Low,80
06,PM,Monday,Low,80
07,PM,Monday,Low,80
08,PM,Monday,Low,80
09,PM,Monday,Low,80
10,PM,Monday,Vlow,70
11,PM,Monday,Vlow,70
12,AM,Tuesday,Vlow,70
01,AM,Tuesday,Vlow,70
02,AM,Tuesday,Vlow,70
03,AM,Tuesday,Vlow,70
04,AM,Tuesday,Vlow,70
05,AM,Tuesday,Vlow,70
06,AM,Tuesday,Vlow,70
07,AM,Tuesday,Vlow,70
08,AM,Tuesday,Vlow,70
09,AM,Tuesday,Vlow,70
10,AM,Tuesday,Low,80
11,AM,Tuesday,Low,80
12,PM,Tuesday,Low,80
01,PM,Tuesday,Low,80
02,PM,Tuesday,Low,80
03,PM,Tuesday,Low,80
04,PM,Tuesday,Medium,90
05,PM,Tuesday,Medium,90
06,PM,Tuesday,Low,80
07,PM,Tuesday,Low,80
08,PM,Tuesday,Low,80
09,PM,Tuesday,Vlow,70
10,PM,Tuesday,Vlow,70
11,PM,Tuesday,Vlow,70
12,AM,Wednesday,Vlow,70
01,AM,Wednesday,Vlow,70
02,AM,Wednesday,Vlow,70
03,AM,Wednesday,Vlow,70
04,AM,Wednesday,Vlow,70
05,AM,Wednesday,Vlow,70
06,AM,Wednesday,Vlow,70
07,AM,Wednesday,Vlow,70
08,AM,Wednesday,Vlow,70
09,AM,Wednesday,Low,80
10,AM,Wednesday,Vlow,70
11,AM,Wednesday,Low,80
12,PM,Wednesday,Low,80
01,PM,Wednesday,Low,80
02,PM,Wednesday,Low,80
03,PM,Wednesday,Medium,90
04,PM,Wednesday,Medium,90
05,PM,Wednesday,Medium,90
06,PM,Wednesday,Low,80
07,PM,Wednesday,Low,80
08,PM,Wednesday,Low,80
09,PM,Wednesday,Low,80
10,PM,Wednesday,Vlow,70
11,PM,Wednesday,Vlow,70
12,AM,Thursday,Vlow,70
01,AM,Thursday,Vlow,70
02,AM,Thursday,Vlow,70
03,AM,Thursday,Vlow,70
04,AM,Thursday,Vlow,70
05,AM,Thursday,Vlow,70
06,AM,Thursday,Vlow,70
07,AM,Thursday,Vlow,70
08,AM,Thursday,Vlow,70
09,AM,Thursday,Low,80
10,AM,Thursday,Low,80
11,AM,Thursday,Low,80
12,PM,Thursday,Low,80
01,PM,Thursday,Low,80
02,PM,Thursday,Low,80
03,PM,Thursday,Low,80
04,PM,Thursday,Medium,90
05,PM,Thursday,Low,80
06,PM,Thursday,Low,80
07,PM,Thursday,Low,80
08,PM,Thursday,Low,80
09,PM,Thursday,Vlow,70
10,PM,Thursday,Vlow,70
11,PM,Thursday,Vlow,70
12,AM,Friday,Vlow,70
01,AM,Friday,Vlow,70
02,AM,Friday,Vlow,70
03,AM,Friday,Vlow,70
04,AM,Friday,Vlow,70
05,AM,Friday,Vlow,70
06,AM,Friday,Vlow,70
07,AM,Friday,Vlow,70
08,AM,Friday,Vlow,70
09,AM,Friday,Low,80
10,AM,Friday,Low,80
11,AM,Friday,Medium,90
12,PM,Friday,Medium,90
01,PM,Friday,Medium,90
02,PM,Friday,Medium,90
03,PM,Friday,High,100
04,PM,Friday,High,100
05,PM,Friday,High,100
06,PM,Friday,High,100
07,PM,Friday,Medium,90
08,PM,Friday,Medium,90
09,PM,Friday,Low,80
10,PM,Friday,Low,80
11,PM,Friday,Vlow,70
12,AM,Saturday,Vlow,70
01,AM,Saturday,Vlow,70
02,AM,Saturday,Vlow,70
03,AM,Saturday,Vlow,70
04,AM,Saturday,Vlow,70
05,AM,Saturday,Vlow,70
06,AM,Saturday,Vlow,70
07,AM,Saturday,Vlow,70
08,AM,Saturday,Low,80
09,AM,Saturday,Medium,90
10,AM,Saturday,Medium,90
11,AM,Saturday,Medium,90
12,PM,Saturday,Medium,90
01,PM,Saturday,Medium,90
02,PM,Saturday,Medium,90
03,PM,Saturday,High,100
04,PM,Saturday,High,100
05,PM,Saturday,High,100
06,PM,Saturday,High,100
07,PM,Saturday,Medium,90
08,PM,Saturday,Medium,90
09,PM,Saturday,Low,80
10,PM,Saturday,Low,80
11,PM,Saturday,Vlow,70
